no,name,past_members,genres,instruments,labels,associated_acts,years_active,occupations,birth_name,origin,born,members,also_known_as,genre,website,spouse(s),twitter_followers
1,Dimitri Vegas & Like Mike, ," Electro house, big room house, progressive house, trap, Dutch house, hardstyle, psytrance, future house, moombahton, future bass, deep house, chillout, dance pop, "," Keyboards, mixer, synthesizer, "," Smash the House, Spinnin Records, Axtone, Armada Music, Epic Amsterdam, Orchard, Sony, "," W&W, Hardwell, Ummet Ozcan, 3 Are Legend, Martin Garrix, Steve Aoki, Vinai, Afrojack, Tiesto, Tara McDonald, David Guetta, Nervo, Kshmr, Steve Angello, Bassjackers, Wolfpack, Diplo, Fedde Le Grand, Ne-Yo, GTA, Moguai, ",2007-present," DJs, record producers, "," Dimitri Thivaios, Michael Thivaios, ", ," (1981-05-16) May 16, 1981 (age 38) (Dimitri Vegas) and  (1985-12-03) December 3, 1985 (age 34) (Like Mike)Willebroek, Belgium"," Dimitri Thivaios (Dimitri Vegas), Michael Thivaios (Like Mike), ", , ,dimitrivegasandlikemike.com, ,1.81M
2,Martin Garrix, ," Progressive house[3], big room house[4], Dutch house, electro house[5], future bass[6], "," Digital audio workstation, guitar, piano, keyboard, "," Stmpd, Spinnin', Musical Freedom, Wall, Republic, School Boy, Casablanca, Universal, Epic Amsterdam, RCA (United States) (2016-present), Columbia (United Kingdom) (2016-present), Sony (2016-present)[7], "," Area21, Matisse & Sadko, David Guetta, Brooks, Avicii, Jay Hardway, Julian Jordan, Bassjackers, Firebeatz, Mesto, MOTi, Justin Mylo, Cesqeaux, Dimitri Vegas & Like Mike, Sander van Doorn, DVBBS, Florian Picasso, Afrojack, Tiësto, Blinders, Dyro, Pierce Fulton, CMC$, ",2012-present," DJ, record producer, ",Martijn Gerard Garritsen, ," (1996-05-14) 14 May 1996 (age 23)Amstelveen, Netherlands", ," GRX[1], YTRAM[2], ", ,martingarrix.com, ,8.83M
3,David Guetta, ,"EDM, house, progressive house, electro house, dance-pop, big room house, future house","Piano, digital audio workstation","What A Music, Big Beat, Atlantic, Parlophone, Virgin, EMI, Capitol, Astralwerks, Ultra, Gum, Fuck Me I'm Famous, Jack Back Records, GUT"," Africanism All Stars, Afrojack, Alesso, Anne-Marie, Avicii, Black Coffee, Bebe Rexha, Brooks, Chris Willis, Flo Rida, Netsky, Glowinthedark, John Martin, Justin Bieber, Kelly Rowland, Martin Garrix, Tara McDonald, Nicki Minaj, Nicky Romero, Sam Martin, Showtek, Sia, Skylar Grey, Vassy, will.i.am, Zara Larsson", , , ,"Pierre David Guetta (1967-11-07) 7 November 1967 (age 52)Paris, France", , , , ,davidguetta.com,Cathy Guetta(m. 1992; div. 2014),21.1M
4,Armin Van Buuren, ," Trance, house, "," Synthesizer, drum machine, "," Armada, A State of Trance, Armind, Kontor, Universal Music, SME, "," Gaia, Perpetuous Dreamer, Alibi, ",1996-present," DJ, record producer, remixer, ",Armin Jozef Jacobus Daniel van Buuren,"Koudekerk aan den Rijn, Netherlands"," (1976-12-25) 25 December 1976 (age 43)Leiden, Netherlands[1]", ,Rising Star, ,"arminvanbuuren.com, ", ,1.63M
5,Marshmello, ," Future bounce[2], electronic, future bass, trap, progressive house, "," Digital audio workstation, keyboards, synthesizer, piano, guitar, bass guitar, drums, percussion, "," Joytime Collective, Astralwerks, Monstercat, Owsla, Geffen, ", ,2015-present," DJ, record producer, internet personality, ",Christopher Comstock, ," (1992-05-19) May 19, 1992 (age 27)[1]Philadelphia, Pennsylvania, United States[1]", ,Dotcom," Music, gaming[3], cooking, ",marshmellomusic.com, ,2.28M
6,Don Diablo, ," House, electro house, progressive house, big room house, future house, trap, drum and bass, bass house, future bass, future bounce, dubstep, ",Keyboards," HEXAGON, Spinnin', Axtone, Protocol, SIZE, Revealed, "," Divided, Hardwell, Yellow Claw, Public Enemy, Viva City, Example, Dragonette, Sidney Samson, Diplo, Noisia, Takura, Angela Hunte, Noonie Bao, Matt Nash, Alex Clare, Kelis, CID, Gabby David, Nicky Romero, Raven & Kreyn, Sway, Yves V, Steve Aoki, Zonderling, ",1997-present," DJ, record producer, musician, songwriter, ", ,"Coevorden, Netherlands", (1980-02-27) 27 February 1980 (age 40), ," Origin Unknown, 2 Faced, Big Pineapple, ", ,www.dondiablo.com, ,337K
7,Oliver Heldens, ,"Big room house, Electro house, Future house, Deep house, Disco,tech house,progressive house", ," Spinnin', Heldeep, Musical Freedom, FFRR, RCA, Atlantic, "," Sander van Doorn, Tiësto, Becky Hill, Throttle, Chocolate Puma, Firebeatz, Riton, Vula, Nile Rodgers, Itzy, ",2013-present," DJ, producer, ",Olivier J. L. Heldens, ," (1995-02-01) February 1, 1995 (age 25)Rotterdam, Netherlands", ,HI-LO, ,oliverheldens.com, ,491K
8,Tiësto, ," Progressive house, future house, electro house, big room house[1], trance, deep house[2], "," Digital audio workstation, keyboard, synthesiser, "," AFTR:HRS, Musical Freedom, Black Hole, Spinnin', "," Gouryella, Kamaya Painters, Armin van Buuren, Hardwell, Steve Aoki, Martin Garrix, BT, MOTi, KSHMR, DallasK, John Christian, Oliver Heldens, Avicii, ",1994-present," DJ, record producer, ",Tijs Michiel Verwest, ," (1969-01-17) 17 January 1969 (age 51)Breda, North Brabant, Netherlands", ,Allure, ,tiesto.com, ,5M
9,Afrojack, ," Dutch house, minimal house, electro house, progressive house, big room house, future house, dance pop, trap, future bass, moombahton, ",FL Studio," Wall, Armada, Island, Def Jam, Spinnin', Revealed, LDH, "," David Guetta, FAIS, Major Lazer, Hardwell, DJ Buddha, Martin Garrix, Chris Brown, Dimitri Vegas & Like Mike, Jewelz & Sparks, ",2003-present," DJ, record producer, remixer, ",Nick van de Wall, ," (1987-09-09) 9 September 1987 (age 32)Spijkenisse, Netherlands", ,"Afrojack, NLW, Kapuchon", ,www.afrojack.com, ,2.66M
10,Steve Aoki, ," EDM, hip hop, electro house[1], trap[2][3], "," Keyboards, synthesizer, programming, turntables, "," Dim Mak, Ultra, Spinnin', Ministry of Sound, "," Louis Tomlinson, Redfoo, BTS, The Bloody Beetroots, will.i.am, Lil Jon, Laidback Luke, Afrojack, Angger Dimas,  Alan Walker, Kid Cudi, Travis Barker, blink-182, Linkin Park, Flux Pavilion, Mike Shinoda, Kid Ink, Don Diablo, 3 Are Legend, Blackbusters[4], ",1996-present," Musician, DJ, record producer, music executive, ",Steven Hiroyuki Aoki,"Newport Beach, California, U.S."," (1977-11-30) November 30, 1977 (age 42)Miami, Florida, U.S.", , , ,steveaoki.com, ,8.35M
